FIPS,poverty_rate,median_age,COPD_CrudePrev,COPD_AdjPrev,CSMOKING_CrudePrev,ozone_mean,pm25_mean
01003,0.10514698717595672,43.7,7.5,6,13,0.0424455,6.718255222222222
01049,0.20359848484848486,39.6,10.8,9.2,19.6,0.043898,6.326573777777778
01051,0.10285062171607903,38.9,7.5,6.6,15.1,0.038739499999999996,NA
01055,0.17099703229103203,41.8,9.8,8.2,17.8,0.042643,8.222657666666667
01073,0.1633237558760307,37.8,6.9,6.2,13.7,0.039176050000000004,8.468210040983607
01089,0.10482494149148708,38.2,5.8,5.2,11.8,0.04021075,7.2235847692307695
01097,0.16268674389690355,38.4,7.9,6.9,15.4,0.041002625,7.435617555555556
01101,0.1928821829442548,36.9,7.5,6.7,14.4,0.041716500000000004,8.096141294117647
01103,0.13561489033513976,40.3,8.5,7.2,16.1,0.04116175,6.8894298888888885
01113,0.22248532894059508,37.2,9,8,18.1,0.0395185,8.614706
01117,0.06922738969434507,40,5.5,4.8,10.5,0.03969425,NA
01119,0.2811402188095955,34.9,9.3,8.5,16.3,0.037740249999999996,7.159843555555556
01125,0.1665120678052418,33,6.6,6.7,13.6,0.03998,7.1218726666666665
02068,0.06569709127382146,44.1,5.9,5.4,16.3,0.03192375,NA
02090,0.06169332898030253,32.4,4.9,5,13.8,0.02669225,8.41925868
04001,0.31223746849621953,36.2,11.9,10.4,22.4,0.04907775,1.662121
04003,0.15538536307419015,42.9,8.3,6.4,12.8,0.049952750000000004,NA
04005,0.17683422685380398,32.4,6.3,6.4,11.5,0.049528125,NA
04007,0.17775271016958874,51.4,10.6,7.4,15.4,0.05175025,NA
04012,0.1844499078057775,59.7,12.5,7.6,14.1,0.04833575,4.377439222222223
04013,0.11250356744752435,37.5,5.7,5.2,10.8,0.05001089285714286,8.318045657894736
04019,0.14352333331374773,39.7,6.8,5.7,10.5,0.04865734375,5.812313314285714
04021,0.10871788658989193,40.3,7.5,6.2,12.3,0.049683041666666664,8.794178685714286
04025,0.12594464804751673,55,9.2,6.2,12,0.051778000000000005,NA
04027,0.1645786674132139,35.8,7.5,6.2,12.7,0.04677575,7.8352654444444445
05019,0.20192919228323086,31.9,8.1,8,15,0.039869,NA
05035,0.2071000855431993,36,9.3,8.3,18.5,0.04363975,8.286066
05101,0.13315485416373116,48.9,11.3,8.3,17.8,0.0421955,NA
05113,0.1896533613445378,44.4,11.4,8.9,18.6,0.0431015,9.22377
05119,0.1621972473078712,37.5,7.2,6.4,13.4,0.040608125,10.14242294117647
