FIPS,reason
01001,no ozone monitor
01005,no ozone monitor
01007,no ozone monitor
01009,no ozone monitor
01011,no ozone monitor
01013,no ozone monitor
01015,no ozone monitor
01017,no ozone monitor
01019,no ozone monitor
01021,no ozone monitor
01023,no ozone monitor
01025,no ozone monitor
01027,no ozone monitor
01029,no ozone monitor
01031,no ozone monitor
01033,no ozone monitor
01035,no ozone monitor
01037,no ozone monitor
01039,no ozone monitor
01041,no ozone monitor
01043,no ozone monitor
01045,no ozone monitor
01047,no ozone monitor
01053,no ozone monitor
01057,no ozone monitor
01059,no ozone monitor
01061,no ozone monitor
01063,no ozone monitor
01065,no ozone monitor
01067,no ozone monitor
01069,no ozone monitor
01071,no ozone monitor
01075,no ozone monitor
01077,no ozone monitor
01079,no ozone monitor
01081,no ozone monitor
01083,no ozone monitor
01085,no ozone monitor
01087,no ozone monitor
01091,no ozone monitor
01093,no ozone monitor
01095,no ozone monitor
01099,no ozone monitor
01105,no ozone monitor
01107,no ozone monitor
01109,no ozone monitor
01111,no ozone monitor
01115,no ozone monitor
01121,no ozone monitor
01123,no ozone monitor
01127,no ozone monitor
01129,no ozone monitor
01131,no ozone monitor
01133,no ozone monitor
02013,no ozone monitor
02016,no ozone monitor
02020,no ozone monitor
02050,no ozone monitor
02060,no ozone monitor
02063,no ozone monitor
02066,no ozone monitor
02070,no ozone monitor
02100,no ozone monitor
02105,no ozone monitor
02110,no ozone monitor
02122,no ozone monitor
02130,no ozone monitor
02150,no ozone monitor
02158,no ozone monitor
02164,no ozone monitor
02170,no ozone monitor
02180,no ozone monitor
02185,no ozone monitor
02188,no ozone monitor
02195,no ozone monitor
02198,no ozone monitor
02220,no ozone monitor
02230,no ozone monitor
02240,no ozone monitor
02275,no ozone monitor
02282,no ozone monitor
02290,no ozone monitor
04009,no ozone monitor
04011,no ozone monitor
04015,no ozone monitor
04017,no ozone monitor
04023,no ozone monitor
05001,no ozone monitor
05003,no ozone monitor
05005,no ozone monitor
05007,no ozone monitor
05009,no ozone monitor
05011,no ozone monitor
05013,no ozone monitor
05015,no ozone monitor
05017,no ozone monitor
05021,no ozone monitor
05023,no ozone monitor
05025,no ozone monitor
05027,no ozone monitor
05029,no ozone monitor
05031,no ozone monitor
05033,no ozone monitor
05037,no ozone monitor
05039,no ozone monitor
05041,no ozone monitor
05043,no ozone monitor
05045,no ozone monitor
05047,no ozone monitor
05049,no ozone monitor
05051,no ozone monitor
05053,no ozone monitor
05055,no ozone monitor
05057,no ozone monitor
05059,no ozone monitor
05061,no ozone monitor
05063,no ozone monitor
05065,no ozone monitor
05067,no ozone monitor
05069,no ozone monitor
05071,no ozone monitor
05073,no ozone monitor
05075,no ozone monitor
05077,no ozone monitor
05079,no ozone monitor
05081,no ozone monitor
05083,no ozone monitor
05085,no ozone monitor
05087,no ozone monitor
05089,no ozone monitor
05091,no ozone monitor
05093,no ozone monitor
05095,no ozone monitor
05097,no ozone monitor
05099,no ozone monitor
05103,no ozone monitor
05105,no ozone monitor
05107,no ozone monitor
05109,no ozone monitor
05111,no ozone monitor
05115,no ozone monitor
05117,no ozone monitor
05121,no ozone monitor
05123,no ozone monitor
