rmse,r_squared,model,fold
0.7953336780806173,0.8451743412178014,random_forest,1
0.5512325240643592,0.9256272467739479,linear,1
0.6480678984747751,0.8680672819690993,random_forest,2
0.5577548412288836,0.9022766856874157,linear,2
0.4702953450929966,0.927959354903914,random_forest,3
0.4352612629515807,0.9382927391922964,linear,3
0.5829380058311705,0.8956222663142885,random_forest,4
0.5477886862475669,0.907830074244486,linear,4
0.6526288234690448,0.8517647228975357,random_forest,5
0.6902883715308358,0.8341634771333771,linear,5
0.67012504479129,0.8694508625887546,random_forest,6
0.5332689220316111,0.9173286828340106,linear,6
0.669489877084593,0.8505137217197961,random_forest,7
0.6414984830464531,0.8627524604516017,linear,7
0.6369954992731844,0.8720502086804707,random_forest,8
0.6087851454328164,0.8831321785973352,linear,8
0.5570746212150658,0.8893346190258177,random_forest,9
0.5225883303617088,0.9026122233284024,linear,9
0.7667077684143241,0.8156122579981223,random_forest,10
0.5214888083767034,0.9146973930793134,linear,10
